#TYPE System.Data.DataRow
"SalesOrderID","SalesOrderDetailID","OrderQty","ProductID","UnitPrice","UnitPriceDiscount","LineTotal","rowguid","ModifiedDate"
"71774","110562","1","836","356.8980","0.0000","356.898000","e3a1994c-7a68-4ce8-96a3-77fdd3bbd730","6/1/2008 12:00:00 AM"
"71774","110563","1","822","356.8980","0.0000","356.898000","5c77f557-fdb6-43ba-90b9-9a7aec55ca32","6/1/2008 12:00:00 AM"
"71776","110567","1","907","63.9000","0.0000","63.900000","6dbfe398-d15d-425e-aa58-88178fe360e5","6/1/2008 12:00:00 AM"
"71780","110616","4","905","218.4540","0.0000","873.816000","377246c9-4483-48ed-a5b9-e56f005364e0","6/1/2008 12:00:00 AM"
"71780","110617","2","983","461.6940","0.0000","923.388000","43a54bcd-536d-4a1b-8e69-24d083507a14","6/1/2008 12:00:00 AM"
"71780","110618","6","988","112.9980","0.4000","406.792800","12706fab-f3a2-48c6-b7c7-1ccde4081f18","6/1/2008 12:00:00 AM"
"71780","110619","2","748","818.7000","0.0000","1637.400000","b12f0d3b-5b4e-4f1f-b2f0-f7cde99dd826","6/1/2008 12:00:00 AM"
"71780","110620","1","990","323.9940","0.0000","323.994000","f117a449-039d-44b8-a4b2-b12001dacc01","6/1/2008 12:00:00 AM"
"71780","110621","1","926","149.8740","0.0000","149.874000","92e5052b-72d0-4c91-9a8c-42591803667e","6/1/2008 12:00:00 AM"
"71780","110622","1","743","809.7600","0.0000","809.760000","8bd33bed-c4f6-4d44-84fb-a7d04afcd794","6/1/2008 12:00:00 AM"
"71780","110623","4","782","1376.9940","0.0000","5507.976000","686999fb-42e6-4d00-9a14-83ffa86833e3","6/1/2008 12:00:00 AM"
"71780","110624","2","918","158.4300","0.0000","316.860000","82940b03-c70b-4183-8660-6b3418908429","6/1/2008 12:00:00 AM"
"71780","110625","4","780","1391.9940","0.0000","5567.976000","644b0cd6-b2c3-4e4d-ab43-091c2ef6c829","6/1/2008 12:00:00 AM"
"71780","110626","1","937","48.5940","0.0000","48.594000","7f5feb17-8ef4-4236-9f1c-15046d9638f0","6/1/2008 12:00:00 AM"
"71780","110627","6","867","41.9940","0.0000","251.964000","ac78838d-b503-41a5-9791-480e528f028c","6/1/2008 12:00:00 AM"
"71780","110628","1","985","112.9980","0.4000","67.798800","2c10a282-a13d-442a-8f45-f4d6b23a7d9c","6/1/2008 12:00:00 AM"
"71780","110629","2","989","323.9940","0.0000","647.988000","654fb79e-70df-4b92-9832-9fa67013215b","6/1/2008 12:00:00 AM"
"71780","110630","3","991","323.9940","0.0000","971.982000","3d6ca7ab-055e-4536-8940-76234cc9bcde","6/1/2008 12:00:00 AM"
"71780","110631","1","992","323.9940","0.0000","323.994000","560feee1-dd54-4c34-abb1-4f8841d0aa41","6/1/2008 12:00:00 AM"
