#TYPE System.Data.DataRow
"ProductCategoryID","ParentProductCategoryID","Name","rowguid","ModifiedDate"
"1","","Bikes","cfbda25c-df71-47a7-b81b-64ee161aa37c","6/1/2002 12:00:00 AM"
"2","","Components","c657828d-d808-4aba-91a3-af2ce02300e9","6/1/2002 12:00:00 AM"
"3","","Clothing","10a7c342-ca82-48d4-8a38-46a2eb089b74","6/1/2002 12:00:00 AM"
"4","","Accessories","2be3be36-d9a2-4eee-b593-ed895d97c2a6","6/1/2002 12:00:00 AM"
"5","1","Mountain Bikes","2d364ade-264a-433c-b092-4fcbf3804e01","6/1/2002 12:00:00 AM"
"6","1","Road Bikes","000310c0-bcc8-42c4-b0c3-45ae611af06b","6/1/2002 12:00:00 AM"
"7","1","Touring Bikes","02c5061d-ecdc-4274-b5f1-e91d76bc3f37","6/1/2002 12:00:00 AM"
"8","2","Handlebars","3ef2c725-7135-4c85-9ae6-ae9a3bdd9283","6/1/2002 12:00:00 AM"
"9","2","Bottom Brackets","a9e54089-8a1e-4cf5-8646-e3801f685934","6/1/2002 12:00:00 AM"
"10","2","Brakes","d43ba4a3-ef0d-426b-90eb-4be4547dd30c","6/1/2002 12:00:00 AM"
"11","2","Chains","e93a7231-f16c-4b0f-8c41-c73fdec62da0","6/1/2002 12:00:00 AM"
"12","2","Cranksets","4f644521-422b-4f19-974a-e3df6102567e","6/1/2002 12:00:00 AM"
"13","2","Derailleurs","1830d70c-aa2a-40c0-a271-5ba86f38f8bf","6/1/2002 12:00:00 AM"
"14","2","Forks","b5f9ba42-b69b-4fdd-b2ec-57fb7b42e3cf","6/1/2002 12:00:00 AM"
"15","2","Headsets","7c782bbe-5a16-495a-aa50-10afe5a84af2","6/1/2002 12:00:00 AM"
"16","2","Mountain Frames","61b21b65-e16a-4be7-9300-4d8e9db861be","6/1/2002 12:00:00 AM"
"17","2","Pedals","6d24ac07-7a84-4849-864a-865a14125bc9","6/1/2002 12:00:00 AM"
"18","2","Road Frames","5515f857-075b-4f9a-87b7-43b4997077b3","6/1/2002 12:00:00 AM"
"19","2","Saddles","049fffa3-9d30-46df-82f7-f20730ec02b3","6/1/2002 12:00:00 AM"
"20","2","Touring Frames","d2e3f1a8-56c4-4f36-b29d-5659fc0d2789","6/1/2002 12:00:00 AM"
"21","2","Wheels","43521287-4b0b-438e-b80e-d82d9ad7c9f0","6/1/2002 12:00:00 AM"
"22","3","Bib-Shorts","67b58d2b-5798-4a90-8c6c-5ddacf057171","6/1/2002 12:00:00 AM"
"23","3","Caps","430dd6a8-a755-4b23-bb05-52520107da5f","6/1/2002 12:00:00 AM"
"24","3","Gloves","92d5657b-0032-4e49-bad5-41a441a70942","6/1/2002 12:00:00 AM"
"25","3","Jerseys","09e91437-ba4f-4b1a-8215-74184fd95db8","6/1/2002 12:00:00 AM"
"26","3","Shorts","1a5ba5b3-03c3-457c-b11e-4fa85ede87da","6/1/2002 12:00:00 AM"
"27","3","Socks","701019c3-09fe-4949-8386-c6ce686474e5","6/1/2002 12:00:00 AM"
"28","3","Tights","5deb3e55-9897-4416-b18a-515e970bc2d1","6/1/2002 12:00:00 AM"
"29","3","Vests","9ad7fe93-5ba0-4736-b578-ff80a2071297","6/1/2002 12:00:00 AM"
"30","4","Bike Racks","4624b5ce-66d6-496b-9201-c053df3556cc","6/1/2002 12:00:00 AM"
"31","4","Bike Stands","43b445c8-b820-424e-a1d5-90d81da0b46f","6/1/2002 12:00:00 AM"
"32","4","Bottles and Cages","9b7dff41-9fa3-4776-8def-2c9a48c8b779","6/1/2002 12:00:00 AM"
"33","4","Cleaners","9ad3bcf0-244d-4ec4-a6a0-fb701351c6a3","6/1/2002 12:00:00 AM"
"34","4","Fenders","1697f8a2-0a08-4883-b7dd-d19117b4e9a7","6/1/2002 12:00:00 AM"
"35","4","Helmets","f5e07a33-c9e0-439c-b5f3-9f25fb65becc","6/1/2002 12:00:00 AM"
"36","4","Hydration Packs","646a8906-fc87-4267-a443-9c6d791e6693","6/1/2002 12:00:00 AM"
"37","4","Lights","954178ba-624f-42db-95f6-ca035f36d130","6/1/2002 12:00:00 AM"
"38","4","Locks","19646983-3fa0-4773-9a0c-f34c49df9bc8","6/1/2002 12:00:00 AM"
"39","4","Panniers","3002a5d5-fec3-464b-bef3-e0f81d35f431","6/1/2002 12:00:00 AM"
"40","4","Pumps","fe4d46f2-c87c-48c5-a4a1-3f55712d80b1","6/1/2002 12:00:00 AM"
"41","4","Tires and Tubes","3c17c9ae-e906-48b4-bdd3-60e28d47dcdf","6/1/2002 12:00:00 AM"
